true_label,raw_pred,guarded_pred,correct,confidence,margin_top2,repo,workflow,job,failing_step,primary_label,label_source,confidence_source,synthetic,active_features,text_preview,p_compilation,p_configuration,p_flaky_test,p_infrastructure,p_test_failure
test_failure,test_failure,test_failure,True,0.39589370280020797,0.017731320715683008,encode/starlette,Test Suite,check,Decide whether the needed jobs succeeded or failed,runtime.exit_code,ollama,0.855,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1,ï»¿Current runner version: '2.331.0' Hosted Compute Agent Version: 20260213.493 Commit: <SHA> Build Date: Worker ID: {5e7f8fbb-f725-4e9f-a530-6244fd071a44} Azure Region: northcentralus Ubuntu 24.04.3 LTS Image: ubuntu-24.04 Version: 20260224.36.1 Included Software: <url:github.com> Image Release: <url:github.com> Actions: read ArtifactMetadata: read Attestations: read Checks: read Contents: read Deployments: read Discussions: read Issues: read Metadata: read Models: read Packages: read Pages: read PullRequests: read RepositoryProjects: read SecurityEvents: read Statuses: read Secret source: No,0.37816238208452496,0.20035463863182076,0.00018434143318934657,0.025404935050257028,0.39589370280020797
compilation,compilation,compilation,True,0.4343184815803638,0.15147101405893748,pypa/pipenv,CI,Package Manager Benchmark,Run benchmark suite,runtime.exit_code,ollama,0.81,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1; feat_has_dependency_install=1,"""git config --local --name-only --get-regexp 'core\.sshCommand' && git config --local --unset-all 'core.sshCommand' || :"" [command]/usr/bin/git config --local --name-only --get-regexp http\.https\:\/\/github\.com\/\.extraheader [command]/usr/bin/git submodule foreach --recursive sh -c ""git config --local --name-only --get-regexp 'http\.https\:\/\/github\.com\/\.extraheader' && git config --local --unset-all 'http.<url:github.com> || :"" [command]/usr/bin/git config --local --name-only --get-regexp ^includeIf\.gitdir: [command]/usr/bin/git submodule foreach --recursive git config --local --show-",0.4343184815803638,0.24071271267159447,0.00023307381832696146,0.0418882644082886,0.2828474675214263
compilation,compilation,compilation,True,0.4343184815803638,0.15147101405893748,pypa/pipenv,CI,Package Manager Benchmark,Run benchmark suite,runtime.exit_code,ollama,0.81,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1; feat_has_dependency_install=1,"git config --local --name-only --get-regexp 'core\.sshCommand' && git config --local --unset-all 'core.sshCommand' || :"" [command]/usr/bin/git config --local --name-only --get-regexp http\.https\:\/\/github\.com\/\.extraheader [command]/usr/bin/git submodule foreach --recursive sh -c ""git config --local --name-only --get-regexp 'http\.https\:\/\/github\.com\/\.extraheader' && git config --local --unset-all 'http.<url:github.com> || :"" [command]/usr/bin/git config --local --name-only --get-regexp ^includeIf\.gitdir: [command]/usr/bin/git submodule foreach --recursive git config --local --show-o",0.4343184815803638,0.24071271267159447,0.00023307381832696146,0.0418882644082886,0.2828474675214263
configuration,compilation,compilation,False,0.4343184815803638,0.15147101405893748,sqlalchemy/sqlalchemy,Run tests,test-3.11-windows-latest-x86-cext-greenlet,Run tests,runtime.exit_code,ollama,0.95,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1; feat_has_dependency_install=1,ï»¿Current runner version: '2.331.0' Hosted Compute Agent Version: 20260123.484 Commit: <SHA> Build Date: Worker ID: {b5ed4f01-4768-4dc1-988a-7eeae437b563} Azure Region: northcentralus Microsoft Windows Server 2025 10.0.26100 Datacenter Image: windows-2025 Version: 20260127.11.2 Included Software: <url:github.com> Image Release: <url:github.com> Contents: read Metadata: read Secret source: Actions Prepare workflow directory Prepare all required actions Getting action download info Download action repository 'actions/checkout@v4' (SHA:<SHA>) Download action repository 'actions/setup-python@v5' ,0.4343184815803638,0.24071271267159447,0.00023307381832696146,0.0418882644082886,0.2828474675214263
compilation,configuration,configuration,False,0.5108963735889769,0.0867106351401602,tiangolo/fastapi,Build Docs,langs,Install docs extras,runtime.exit_code,ollama,0.855,False,feat_kw_config_fail=1; feat_config_no_compile=1; feat_step_is_setup=1; feat_primary_is_runtime=1; feat_config_missing_file=1; feat_first_error_before_tests=1; feat_error_in_setup_step=1,ï»¿Current runner version: '2.333.1' Hosted Compute Agent Version: 20260213.493 Commit: <SHA> Build Date: Worker ID: {f0cf71cf-ad4b-4132-ae44-e3cea9af105d} Azure Region: westcentralus Ubuntu 24.04.4 LTS Image: ubuntu-24.04 Version: 20260323.65.1 Included Software: <url:github.com> Image Release: <url:github.com> Contents: read Metadata: read Packages: read Secret source: None Prepare workflow directory Prepare all required actions Getting action download info Download action repository 'actions/checkout@v6' (SHA:<SHA>) Download action repository 'actions/setup-python@v6' (SHA:<SHA>) Download a,0.4241857384488167,0.5108963735889769,0.00018558233350377516,0.019575947029945556,0.045156358598757156
compilation,test_failure,test_failure,False,0.39589370280020797,0.017731320715683008,aio-libs/aiobotocore,CI/CD,check,Decide whether the needed jobs succeeded or failed,runtime.exit_code,ollama,0.855,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1,"ï»¿Current runner version: '2.333.1' Hosted Compute Agent Version: 20260213.493 Commit: <SHA> Build Date: Worker ID: {8e48ea87-2e12-4da2-bc62-76808fcd172d} Azure Region: westcentralus Ubuntu 24.04.4 LTS Image: ubuntu-24.04 Version: 20260413.86.1 Included Software: <url:github.com> Image Release: <url:github.com> Metadata: read Secret source: Actions Prepare workflow directory Prepare all required actions Getting action download info Download action repository 're-actors/alls-green@<SHA>' (SHA:<SHA>) Complete job name: check with: jobs: { ""build"": { ""result"": ""success"", ""outputs"": {} }, ""test"":",0.37816238208452496,0.20035463863182076,0.00018434143318934657,0.025404935050257028,0.39589370280020797
compilation,test_failure,test_failure,False,0.39589370280020797,0.017731320715683008,tiangolo/fastapi,Test,check,Decide whether the needed jobs succeeded or failed,runtime.exit_code,ollama,0.855,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1,"""followers_url"": ""<url:api.github.com> ""following_url"": ""<url:api.github.com> ""gists_url"": ""<url:api.github.com> ""gravatar_id"": """", ""html_url"": ""<url:github.com> ""id"": 70463940, ""login"": ""Herrtian"", ""node_id"": ""MDQ6VXNlcjcwNDYzOTQw"", ""organizations_url"": ""<url:api.github.com> ""received_events_url"": ""<url:api.github.com> ""repos_url"": ""<url:api.github.com> ""site_admin"": false, ""starred_url"": ""<url:api.github.com> ""subscriptions_url"": ""<url:api.github.com> ""type"": ""User"", ""url"": ""<url:api.github.com> ""user_view_type"": ""public"" }, ""private"": false, ""pull_request_creation_policy"": ""all"", ""pulls_url",0.37816238208452496,0.20035463863182076,0.00018434143318934657,0.025404935050257028,0.39589370280020797
compilation,test_failure,test_failure,False,0.39589370280020797,0.017731320715683008,tiangolo/fastapi,pre-commit,pre-commit-alls-green,Decide whether the needed jobs succeeded or failed,runtime.exit_code,ollama,0.855,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1,"""followers_url"": ""<url:api.github.com> ""following_url"": ""<url:api.github.com> ""gists_url"": ""<url:api.github.com> ""gravatar_id"": """", ""html_url"": ""<url:github.com> ""id"": 43058381, ""login"": ""mokshagnachintha"", ""node_id"": ""MDQ6VXNlcjQzMDU4Mzgx"", ""organizations_url"": ""<url:api.github.com> ""received_events_url"": ""<url:api.github.com> ""repos_url"": ""<url:api.github.com> ""site_admin"": false, ""starred_url"": ""<url:api.github.com> ""subscriptions_url"": ""<url:api.github.com> ""type"": ""User"", ""url"": ""<url:api.github.com> ""user_view_type"": ""public"" }, ""private"": false, ""pull_request_creation_policy"": ""all"", ""p",0.37816238208452496,0.20035463863182076,0.00018434143318934657,0.025404935050257028,0.39589370280020797
test_failure,test_failure,test_failure,True,0.5132568251619605,0.10392356832615424,psf/black,test,"test (3.13, ubuntu-latest)",Unit tests,compile.syntax,ollama,0.855,False,feat_kw_test_assert=1; feat_primary_is_compile=1; feat_first_error_before_tests=1,ts/test_black.py::BlackTestCase::test_find_pyproject_toml [gw3] [ 2%] PASSED tests/test_black.py::BlackTestCase::test_report_verbose tests/test_black.py::BlackTestCase::test_one_empty_line tests/test_black.py::BlackTestCase::test_required_version_does_not_match_on_minor_version [gw1] [ 2%] PASSED tests/test_black.py::BlackTestCase::test_find_pyproject_toml [gw2] [ 2%] PASSED tests/test_black.py::BlackTestCase::test_one_empty_line tests/test_black.py::BlackTestCase::test_find_user_pyproject_toml_linux [gw1] [ 2%] PASSED tests/test_black.py::BlackTestCase::test_find_user_pyproject_toml_linux tes,0.40933325683580624,0.024191620458841306,0.0002193165008469932,0.05299898104254499,0.5132568251619605
test_failure,test_failure,test_failure,True,0.39589370280020797,0.017731320715683008,mlflow/mlflow,JS,check-component-ids,Check componentId registry,runtime.exit_code,ollama,0.81,False,feat_primary_is_runtime=1; feat_first_error_before_tests=1,ï»¿Current runner version: '2.333.1' Hosted Compute Agent Version: 20260213.493 Commit: <SHA> Build Date: Worker ID: {d5b5a6fb-4e39-436a-be64-cf6b04a74e30} Azure Region: centralus - OS: Linux (x64) - Source: Docker - Name: ubuntu:24.04 - Version: 20260413.54.1 Contents: read Metadata: read Secret source: None Prepare workflow directory Prepare all required actions Getting action download info Download action repository 'actions/checkout@<SHA>' (SHA:<SHA>) Complete job name: check-component-ids with: persist-credentials: false repository: mlflow/mlflow token: *** ssh-strict: true ssh-user: git ,0.37816238208452496,0.20035463863182076,0.00018434143318934657,0.025404935050257028,0.39589370280020797
